tamRed;exp;mae;rmse;mse;accuracy
0.1;1;0.27679353952407837;0.3316340145894582;0.10998111963272095;0.0
0.1;2;0.2710121273994446;0.32341463266150977;0.10459702461957932;0.0
0.1;3;0.28274083137512207;0.3405995022565987;0.11600802093744278;0.0
0.1;4;0.2743210196495056;0.3279627217051809;0.10755954682826996;0.0
0.1;5;0.27893850207328796;0.3355063177429223;0.11256448924541473;0.0
0.2;1;0.26258426904678345;0.30958425929665656;0.09584241360425949;0.0
0.2;2;0.259756475687027;0.30569465167271437;0.09344922006130219;0.0
0.2;3;0.2663748264312744;0.3161475690053505;0.09994928538799286;0.0
0.2;4;0.26372185349464417;0.31170145766018675;0.0971577987074852;0.0
0.2;5;0.2607361674308777;0.30805903597227113;0.09490036964416504;0.0
0.3;1;0.2551022469997406;0.29817050054799404;0.08890564739704132;0.0
0.3;2;0.25529950857162476;0.2982804134630929;0.08897120505571365;0.0
0.3;3;0.2568800747394562;0.3008272705541515;0.09049704670906067;0.0
0.3;4;0.25661757588386536;0.30054869888977864;0.09032952040433884;0.0
0.3;5;0.25563889741897583;0.29895540406567567;0.08937433362007141;0.0
0.4;1;0.2571121156215668;0.30124178222274417;0.09074661135673523;0.0
0.4;2;0.25344735383987427;0.29502739187133614;0.08704116195440292;0.0
0.4;3;0.25615787506103516;0.2990712193062054;0.08944359421730042;0.0
0.4;4;0.2547987997531891;0.29701634856786174;0.08821871131658554;0.0
0.4;5;0.25600680708885193;0.298586067947267;0.08915363997220993;0.0
0.5;1;0.2524644434452057;0.2935221848860278;0.08615527302026749;0.0
0.5;2;0.2536086440086365;0.2952505011291838;0.08717285841703415;0.0
0.5;3;0.2514948844909668;0.29212142482817516;0.08533492684364319;0.0
0.5;4;0.2517234981060028;0.2921789458751536;0.08536853641271591;0.0
0.5;5;0.25253060460090637;0.2932424919438843;0.08599115908145905;0.0
0.6;1;0.2519717812538147;0.2926331568912816;0.08563416451215744;0.0
0.6;2;0.2512580454349518;0.29122149463043406;0.08480995893478394;0.0
0.6;3;0.2523157298564911;0.2932999328450628;0.08602485060691833;0.0
0.6;4;0.2538420855998993;0.29523089305624256;0.08716128021478653;0.0
0.6;5;0.2511661648750305;0.2909664522141132;0.08466147631406784;0.0
0.7;1;0.2514256536960602;0.29153885623865194;0.08499490469694138;0.0
0.7;2;0.2515302300453186;0.29174858316667496;0.08511723577976227;0.0
0.7;3;0.25152549147605896;0.29154570517869294;0.08499889820814133;0.0
0.7;4;0.2522449791431427;0.2929697926820638;0.08583129942417145;0.0
0.7;5;0.2519993484020233;0.2923473379953747;0.08546696603298187;0.0
0.8;1;0.2518419027328491;0.2920548744912306;0.08529604971408844;0.0
0.8;2;0.25185713171958923;0.29278504015916035;0.08572307974100113;0.0
0.8;3;0.2516847252845764;0.29164081981212;0.08505436778068542;0.0
0.8;4;0.25087982416152954;0.29061565179044;0.08445745706558228;0.0
0.8;5;0.259165495634079;0.30409008536121623;0.09247078001499176;0.0
0.9;1;0.25089237093925476;0.29055178242965296;0.0844203382730484;0.0
0.9;2;0.2511571943759918;0.29101960608300304;0.08469241112470627;0.0
0.9;3;0.25095105171203613;0.29045691397829104;0.08436521887779236;0.0
0.9;4;0.251815527677536;0.2918618718366265;0.08518335223197937;0.0